algorithm,n,time_ns,depth,comparisons,allocations
mergesort,1000,41348300,6,13601,1000
mergesort,1000,879100,6,13235,1000
mergesort,1000,898100,6,13536,1000
mergesort,2000,1275900,7,28508,2000
mergesort,2000,747100,7,28707,2000
mergesort,2000,3002100,7,28695,2000
mergesort,4000,20837100,8,61708,4000
mergesort,4000,51622300,8,61928,4000
mergesort,4000,2695600,8,61655,4000
mergesort,8000,684300,9,132238,8000
mergesort,8000,731400,9,131239,8000
mergesort,8000,846300,9,130854,8000
mergesort,16000,1553300,10,278773,16000
mergesort,16000,1487800,10,277032,16000
mergesort,16000,2352700,10,278199,16000
mergesort,32000,7520900,11,588849,32000
mergesort,32000,10573300,11,588303,32000
mergesort,32000,3730700,11,586927,32000
mergesort,64000,19830100,12,1239000,64000
mergesort,64000,22262000,12,1243429,64000
mergesort,64000,9611200,12,1238947,64000
